chef_name,restaurant_name,address,cuisine_type,chef_comment,best_dish
Sébastien Perinetti,Banh Mei,"6 Rue Rossetti, 06300 Nice",Vietnamese,"You's great food, lively and fresh, wontons to die for, and Renaud's wine selection, which grows every day with sharp and highly drinkable wines.",Wontons
Sébastien Perinetti,La Part des Anges,"17 Rue Gubernatis, 06000 Nice",,"Unmissable and timeless. A place to learn about natural wine! And Brice's cooking is full of audacity and subtlety, combining surf and turf! A chef's dream! And a top team led by Papa Olive!",
Sébastien Perinetti,Epiro,"53 Bd Stalingrad, 06300 Nice",Italian,"Rome - Nice, beautiful pasta made in-house, generous and bright dishes, and the Italian viticulture we love. Heavenly!",Pasta
Sébastien Perinetti,Casa Sallusti,"670 Chem. des Collets, 06640 Saint-Jeannet",,"A magical place, in a calm environment, the amazing touch of Hugo, creative and precise, and the energy of Luna, you feel good here.",
Sébastien Perinetti,Cinq,"5 Rue de la Bourgade, 06140 Tourrettes-sur-Loup",,"Big ""miams"" on every bite of the menu concocted by Stephan, and Elise offers great wines to accompany them.",
Sébastien Perinetti,La pêche à la vigne,"13 Rue Cassini, 06300 Nice",,"Beautiful selection of products, atypical and exciting wine list, with superb Slovenian finds, we go there for the gourmandize of the plates and the wonderful welcoming atmosphere, thanks to Simona and Léo.",
Sébastien Perinetti,Chez Davia,"11bis Rue Grimaldi, 06000 Nice",French,"Pierre's cooking is precise and delicious. He keeps with tradition but adds a bit of excitement. Barbajuans, capoun, pâtes au pistou...we indulge.","Barbajuans, capoun, pâtes au pistou"
Sébastien Perinetti,Jeanne,"10 Rue Sade, 06600 Antibes",,"The Pétard sisters, great wines on the table, an enchanting cave à manger, and dishes where the local products shine. Treat your tastebuds!",
Sébastien Perinetti,Le Ponpon,"4 Rue Emile Négrin, 06400 Cannes",,For Bruno's delicious and playful dishes and a fine selection of natural wines.,
Sébastien Perinetti,Amarea,"Lungomare Argentina, 1, 18012 Bordighera IM, Italy",Italian,"The sea all around and on the plate! At Romolo's, the beautiful gamberoni, brandacujun, fritto misto, you can enjoy Nadi's food with a view, and the drinks, orchestrated by Davide, are not forgotten!","Gamberoni, brandacujun, fritto misto"
Sébastien Perinetti,Maido,"31 Rue Gioffredo, 06000 Nice",Japanese,"The Izakaya of Nice. Lots of delicious dishes, superb gyoza, chirashi, a selection of good wine, and sakes to discover!","Gyoza, chirashi"
Sébastien Perinetti,Babel Babel,"2 Cr Jacques Chirac, 06300 Nice",Mediterranean,"The location, in front of the sea, exciting cocktails, very nice selection of lively Mediterranean wines. And Francesca and her team's dishes that make your head spin. We want more.",
Victoria Gil & Guilhem Malisson,Le Bec Du Coq,"28 Boulevard Notre Dame, 13006 Marseille",French,,
Victoria Gil & Guilhem Malisson,Sépia,"2 Rue Vauvenaroques, 13007 Marseille",,,
Victoria Gil & Guilhem Malisson,Chez Yassine,"8 Rue d'Aubagne, 13001 Marseille",,For the fish couscous on Sundays.,
Victoria Gil & Guilhem Malisson,Hako +,"218 Chem. du Roucas Blanc, 13007 Marseille",,Perfect bento lunch.,
Victoria Gil & Guilhem Malisson,Chez Etienne,"43 Rue Lorette, 13002 Marseille, France",,"We don't go to a restaurant, we go Chez Etienne, an institution.",
Victoria Gil & Guilhem Malisson,Ouréa,"72 Rue de la Paix Marcel Paul, 13006 Marseille",,,
Victoria Gil & Guilhem Malisson,Shanghai Kitchen,"14 Cr Jean Ballard, 13001 Marseille",Chinese,The best Chinese restaurant in Marseille.,We love the pieds de cochons.
Victoria Gil & Guilhem Malisson,Limmat,"41 Rue Estelle, 13006 Marseille",,"For the location, the atmosphere, and the modern primarily vegetable-centered cuisine.",
Victoria Gil & Guilhem Malisson,Jeanne,"10 Rue Sade, 06600 Antibes",,"In Antibes: fine wine selection, cuisine full of inspiration.",
Victoria Gil & Guilhem Malisson,La Courtille Tavel,"208 Chem. des Cravailleux, 30126 Tavel",,A restaurant open during the summer in the heart of the vineyards in Tavel. Great offal dishes.,
Victoria Gil & Guilhem Malisson,Mouné,"30 Rue Fortia, 13001 Marseille, France",Lebanese,The best Lebanese restaurant in Marseille.,
Catalin Indreica,Bocca Nissa,"3 Rue Saint-François de Paule, 06300 Nice",Mediterranean,,
Catalin Indreica,Comptoir du Marché,"8 Rue du Marché, 06000 Nice",,"You will be very well received here, the hospitality in this small restaurant is irreproachable, and its place in the Michelin guide is well-deserved.","Don't miss: the calamars à la plancha accompagnés d'un coulis à l'orange, and the joue de bœuf."
Catalin Indreica,La Merenda,"4 Rue Raoul Bosio, 06300 Nice",,"The resistance is here! This mythical place in Nice proposes a beautiful menu around niçoise tradition, You shouldn't miss the pâtes au pistou and the pissaladière.",Pâtes au pistou and pissaladière
Catalin Indreica,Le Bar des Oiseaux,"5 Rue Saint-Vincent, 06300 Nice",,Pop art decoration with an authentic feel. Le Bar des Oiseaux offers a very sophisticated and refined cuisine.,"The à la carte options are numerous and I would recommend you try the tartare au melon, the stracciatella fumée, the raviolis à l'encre de seiche, the calamars, or the mousse carbonara."
Catalin Indreica,La Cave du Fromager,"29 Rue Benoît Bunico, 06000 Nice",,"In a welcoming and family-like atmosphere, you will find the best fondue I have ever tasted! The brownie aux noisettes du Piémont is a must and everything is accompanied by a very nice selection of natural wines.",Fondue and brownie aux noisettes du Piémont
Catalin Indreica,Olive & Artichaut,"6 Rue Sainte-Reparate, 06300 Nice",,"Simple but delicate, this restaurant nestled in the narrow streets of Vieux Nice offers seasonal menus with fresh products from local producers.",
Catalin Indreica,Babel Babel,"2 Cr Jacques Chirac, 06300 Nice",,"Always received as if at home, the atmosphere is matched by well prepared dishes accompanied by a rich and varied selection of natural wines.",Don't miss the vitello tonnato and the rougets en kadaïf.
Catalin Indreica,Lavomatique,"11 Rue du Pont Vieux, 06300 Nice",,"You'll enjoy a delicious and generous cuisine, with plates to share in a very pleasant setting.","I recommend the saucisse maison à la sauce barbecue, and the lentilles."
Catalin Indreica,Geppetto,"9 Rue Chauvain, 06000 Nice",Italian,"Always well received by the owner, Alex, this restaurant offers Italian cuisine the way we like it!","The must: the real carbonara and for dessert, a good tiramisu, go there with your eyes closed!"
Catalin Indreica,Peixes,"4 Rue Jacques Médecin, 06300 Nice",Seafood,The restaurant offers a generous cuisine with a focus on fresh seafood.,My favourite is the ceviche à la saint jacques et au thon.
Catalin Indreica,Farago on the roof,"Rooftop de l'AC Hotel by Marriott Nice, Rue Honoré Sauvan, 59 Prom. des Anglais, 06000 Nice",,"We go there for the magnificent view but not only! You will find very good tapas, varied and full of flavour, with my favourite being the poulpe mijoté à la sauce tomate.",Poulpe mijoté à la sauce tomate
Guillaume Tran-tu,Mallard,"6 Rue Maraldi, 06300 Nice",French,,
Guillaume Tran-tu,Le Glouphile,"41 Bd Stalingrad, 06300 Nice",,Prestigious wine cellar and Spanish charcuterie.,
Guillaume Tran-tu,La Cave Rembrandt,"54 Bd Général Louis Delfino, 06300 Nice",,"Dynamic, organic natural wine cellar with a fine selection and low prices.",
Guillaume Tran-tu,Lavomatique,"11 Rue du Pont Vieux, 06300 Nice",,Innovative bar food and high-quality natural wines.,
Guillaume Tran-tu,Chabrol,"12 Rue Bavastro, 06300 Nice",,"Charming restaurant, refined cuisine, and fine wines.",
Guillaume Tran-tu,Le Canon,"23 Rue Meyerbeer, 06000 Nice",,Rue Meyerbeer. Changing menu that's written on a chalkboard and great wines.,
Guillaume Tran-tu,ROUGE,"2 Rue de Foresta, 06300 Nice",,"Rue Foresta. In a clearing with a view of the port. Small sharing plates, the best are the croquettes de parmesan.",Croquettes de parmesan
Guillaume Tran-tu,Babel Babel,"2 Cr Jacques Chirac, 06300 Nice",,"All day dining on the boardwalk, natural wines, and small sharing plates.",
Guillaume Tran-tu,D'AQUI,"28 Rue Cassini, 06300 Nice",,Socca-based Nissart street food.,
Guillaume Tran-tu,La treille bar a vin,"7 Rue Saint-Augustin, 06300 Nice",,A wine bar with cheap sharing plates in the heart of Vieux Nice.,
Adam Aamanns,Aamanns 1921,"Niels Hemmingsens Gade 19-21, 1153 Copenhagen, Denmark",Scandinavian,"My restaurants offers a slightly updated version of Smørrebrød, working on enhancing flavor and hopefully offering something surprising. This is where I would come if I wanted classic Smørrebrød and I don't want to cook it myself, something like an easygoing piece of potato on rye with mayo and crispy onions. This is the classic lunch experience complete with harsh waiters that want to pour schnapps down your throat...it's part of the charm!.","Very strong on the Herring, the fish dishes tend to be more interesting, it's elemental and has a balance of sweet and sour and things going on."
Adam Aamanns,Schønnemann,"Hauser Pl. 16, 1127 Copenhagen, Denmark",Scandinavian,"This is where I would come if I wanted classic Smørrebrød and I don't want to cook it myself, something like an easygoing piece of potato on rye with mayo and crispy onions. This is the classic lunch experience complete with harsh waiters that want to pour schnapps down your throat...it's part of the charm!.","Very strong on the Herring, the fish dishes tend to be more interesting."
Adam Aamanns,Bottega Estadio,"Gunnar Nu Hansens Pl. 9, 2100 Copenhagen, Denmark",Mediterranean,"A Mediterranean place with a huge grill. You can choose either shellfish or meat from the grill but the fish is normally what I would choose. I like the whole grilled fish with tossed salad, easygoing but sharp and good value for money. Open from Thursday to Saturday and always very full and noisy in a good way.",
Adam Aamanns,Marchal,"Hotel d'Angleterre, Kongens Nytorv 34, 1050 Copenhagen, Denmark",French,"As a young chef, I worked in France and Italy so I'm a sucker for both cuisines. This is one of the greatest places that extravagantly showcases French cuisine. It's not cheap but it's all about lobster, turbot, and caviar so if you're up for having a treat then this is the place to go. Head chef Jakob De Neergaard is an expert at classic comfort flavors at a high level.",
Adam Aamanns,Mielcke & Hurtigkarl,"Frederiksberg Runddel 1, 2000 Frederiksberg, Denmark",Asian-Japanese-Nordic,Michelin prices. Every year the Michelin guide comes out and every year we shake our heads that Mielcke & Hurtigkarl don't get a star. Asian-Japanese-nordic inspired with complex flavors that are controlled very well. Led by an Italian chef who is undogmatic and takes inspiration from all over the world. I find coming here inspirational because it's so different from other Copenhagen restaurants. Also one of Copenhagen's best sommeliers.,
Adam Aamanns,Famo Metro,"Øster Søgade 114, 2100 Copenhagen, Denmark",Italian,"Local Italian restaurant owned by Italian Chef Fabbio Masson who has worked in Copenhagen for the past 30 years or more. He owns a few restaurants but this one is close to my home. The menu is set up so you get little antipasti, primi, secondo, and dolce, all in 6-7 servings. Classic easygoing Italian food with an ever-changing menu, always great antipasti and pasta, and very inexpensive (for Copenhagen). Probably one of the places I go to the most, it's good, simple, and close by.",
Adam Aamanns,Juju,"Øster Farimagsgade 8, 2100 Copenhagen, Denmark",Korean,"A Korean restaurant not far from me by bicycle and it's also my business neighbor. Neither expensive nor inexpensive. Easygoing, extremely sharp comfort food. They have great kimchi, fantastic dishes from the barbecue, mussels, and langoustine. Indefinitely recommended. Excellent Korean food, great desserts, and one of the first of its kind in Copenhagen.",
Adam Aamanns,À Côté,"Gothersgade 39, 1101 Copenhagen, Denmark",French,"One chef doing everything, with a weekly changing menu. Home-style french cooking and only open four days a week. It's like going to eat at someone's house, everything is freshly made, no big mise en place, you cook in the afternoon and then open serve what you made a few hours before. The menu changes all the time so you could be getting a pithivier with morel sauce or sardines in escabeche.",
Adam Aamanns,Restaurant Tinggården,"Frederiksvækvej 182, 3300 Frederiksvær, Denmark",Danish,"Tinggaarden is about an hour from Copenhagen and is still owned and run by the same chef Jan Friis Mikkelsen and his family, as when I worked there as a young chef. It's based in an old farmhouse and he's been using local produce from the community since long before that was a thing. Very strong on local Danish sesonal ingredients, sourced very locally, the inspiration is with a slight tone of France, nothing is overdone, definitely not cheap but not super expensive either. Very down-to-earth and charming, it's an experience that will take you back in time.",
Adam Aamanns,Ranees,"Blågårds Pl. 10, 2200 Copenhagen, Denmark",Thai,"The closest you get to Thai cooking in Copenhagen. Ranee the owner has been doing great Thai cooking for the past 15-20 years or so and she does an excellent job. There are dishes with strong chili that I like once in a while, it can be uncomfortable eating but in a good way! A lot of restaurants open and close in Copenhagen so I have deep respect that she's still here and I feel an obligation to visit and keep these places going.","It's a small menu that changes often but there are very interesting entrees, green papaya salad, excellent larbs (great before the big curries), and an overall different and more authentic selection than other Thai places."
unknown — check profile page,Café de Parel,"Westerstraat 266, 1015 MT Amsterdam, Netherlands",,,
unknown — check profile page,La Petite Ourse,"48 bd Liberté, 35000 Rennes",,,
unknown — check profile page,Silberbauers Bistro,"Jægerborggade 40, 2200 Copenhagen, Denmark",,,
unknown — check profile page,Casa Lhasa,"Carrer Sant Llorenç, 2, 07812 Sant Llorenç de Balàfia, Balearic Islands, Spain",,,
unknown — check profile page,Les Cornettes,"43 Route des Frasses, 74360 La Chapelle-d'Abondance",,,
unknown — check profile page,Mensae,"23 Rue Melingue, 75019 Paris",,,
unknown — check profile page,Emma Metzler,"Schaumainkai 17, 60594 Frankfurt am Main, Germany",,,
unknown — check profile page,Violet,"47 Wilton Way, London E8 3ED, United Kingdom",,,
unknown — check profile page,Kronenhalle,"Rämistrasse 4, 8001 Zürich, Switzerland",,,
unknown — check profile page,Café Deco,"43 Store St, London WC1E 7DB, United Kingdom",,,
unknown — check profile page,Churreria Santa Lucía,"Portu Kalea, 6, 20003 Donostia, Gipuzkoa, Spain",,,
unknown — check profile page,Formosa Cafe,"7156 Santa Monica Blvd, West Hollywood, CA 90046, United States",,,
unknown — check profile page,Marisquería Los Marinos Jose,"P.° Marítimo Rey de España, 161, 29640 Fuengirola, Málaga, Spain",,,
unknown — check profile page,Max und Moritz,"Oranienstraße 162, 10969 Berlin, Germany",,,
unknown — check profile page,Einer,"Prinsens gate 18, 0152 Oslo, Norway",,,
unknown — check profile page,Pulejo ristorante,"Via dei Gracchi, 31, 00192 Roma RM, Italy",,,
unknown — check profile page,Rovello 18,"Via Tivoli, 2, 20121 Milano MI, Italy",,,
unknown — check profile page,Gem,"116 Forsyth St, New York, NY 10002, United States",,,
unknown — check profile page,Rimessa Roscioli,"Via del Conservatorio, 58, 00186 Roma RM, Italy",,,
unknown — check profile page,Ulus 29,"Ulus, Ahmet Adnan Saygun Cd. No:71/1, 34340 Beşiktaş/Istanbul, Turkey",,,
unknown — check profile page,Moltabarra Bar de Tapas,"Carrer del Pes de la Farina, 12, 07001 Palma, Balearic Islands, Spain",,,
unknown — check profile page,O Mammy Burger Marrakech,"Marrakech Golf City, clubhouse The Montgomerie Marrakech, 40160, Morocco",,,
unknown — check profile page,La Lira focacceria,"Largo Martellotta, 67, 70011 Alberobello BA, Italy",,,
unknown — check profile page,Ganbara,"C. de San Jerónimo, 21, 20003 Donostia-San Sebastian, Gipuzkoa, Spain",,,
unknown — check profile page,Sources,"22 Rue de Verdun, 44000 Nantes",,,
unknown — check profile page,Restaurante Laja,"km 83 Tecate Vivienda, Popular, 22850 Ensenada, B.C., Mexico",,,
unknown — check profile page,Tête en l'air,"19 Av. Emmanuel Maignan, 31200 Toulouse",,,
unknown — check profile page,Arroyo Chop House,"536 S Arroyo Pkwy, Pasadena, CA 91105, United States",,,
unknown — check profile page,Demo,"Jr, 28 De Julio 204, Barranco 15063, Peru",,,
unknown — check profile page,Bar Anita,"Lugar Barri San Carlos, s/n, Islas, 07850 Sant Carles de Peralta, Balearic Islands, Spain",,,
unknown — check profile page,Marmota,"Plaza Río de Janeiro 53, Roma Nte., Cuauhtémoc, 06700 Ciudad de México, CDMX, Mexico",,,
unknown — check profile page,La Docena,"Frontera 31, Roma Nte., Cuauhtémoc, 06700 Ciudad de México, CDMX, Mexico",,,
unknown — check profile page,Olivia restaurant,"55 Keong Saik Rd., #01-03, Singapore 089158",,,
unknown — check profile page,Cadence by Dan Bark,"225 Soi Pridi Banomyong 25, Wattana, Khlong Toei, Bangkok 10110, Thailand",,,
unknown — check profile page,Café China,"59 W 37th St, New York, NY 10018, United States",,,
unknown — check profile page,Dinings,"22 Harcourt St, London W1H 4HH, United Kingdom",,,
unknown — check profile page,Schmaltz Delicatessan,"Nybrogatan 19, 114 39 Stockholm, Sweden",,,
unknown — check profile page,Osteria del Caroseno,"Via Santomagno, 18, 70013 Castellana Grotte BA, Italy",,,
unknown — check profile page,Rufino Osteria,"Strandgade 14, 1401 Copenhagen, Denmark",,,
unknown — check profile page,Jeanne-Aimée,"3 Rue Bourdaloue, 75009 Paris",,,
unknown — check profile page,La Fisna Vinos,"C. del Amparo, 91, 28012 Madrid, Spain",,,
unknown — check profile page,Empreinte,"15 Pl. Valencia, 56000 Vannes",,,
unknown — check profile page,Gresca Restaurant,"C/ de Provença, 230, 08036 Barcelona, Spain",,,
unknown — check profile page,SeBE,"Av. de las Islas Canarias, 20, 35508 Costa Teguise, Las Palmas, Spain",,,
unknown — check profile page,Tia Tia,"Rua do Almada 501, 4050-039 Porto, Portugal",,,
unknown — check profile page,Mesa Ibiza,"Diseminado Bar Stop, 735, 07829, Balearic Islands, Spain",,,
unknown — check profile page,Cecile,"43 Pl. des Carmes, 31000 Toulouse",,,
unknown — check profile page,Asmali Cavit,"Asmali Mescit, Asmali Mescit Cd. 16/D, 34430 Beyoğlu/Istanbul, Turkey",,,
unknown — check profile page,Kosmos,"Lagerstrasse 104, 8004 Zürich, Switzerland",,,
unknown — check profile page,Erba Brusca,"Alzaia Naviglio Pavese, 286, 20142 Milano MI, Italy",,,
unknown — check profile page,Early June,"19 Rue Jean Poulmarch, 75010 Paris",,,
unknown — check profile page,Hot Shop,"Københavngata 18, 0566 Oslo, Norway",,,
unknown — check profile page,Breda,"Singel 210, 1016 AB Amsterdam, Netherlands",,,
unknown — check profile page,Bioesseri Palermo,"Via Giuseppe la Farina, 4, 90141 Palermo PA, Italy",,,
unknown — check profile page,Golden Koloreç iskembe and Kellepaca,"Mecidiye, Dereboyu Cd. No:3, 34347 Beşiktaş/Istanbul, Turkey",,,
unknown — check profile page,Santa Maria fornello pronto,"Via Santa Maria, 104, 70017 Putignano BA, Italy",,,
unknown — check profile page,Le Mermoz,"16 Rue Jean Mermoz, 75008 Paris",,,
unknown — check profile page,BISe,"Norra Vallgatan 88, 211 22 Malmö, Sweden",,,
unknown — check profile page,Pasticceria Sissi,"Piazza Risorgimento, 6, 20129 Milano MI, Italy",,,
unknown — check profile page,Café du coin,"9 Rue Camille Desmoulins, 75011 Paris, France",,,
unknown — check profile page,Epiro (Roma),"Piazza Epiro, 26, 00183 Roma RM, Italy",,,
unknown — check profile page,GOTA,"C. de Prim, 5, 28004 Madrid, Spain",,,
unknown — check profile page,Arlette,"Moll de Llevant, 298, 07701 Maó, Balearic Islands, Spain",,,
unknown — check profile page,Les Brigittines,"Pl. de la Chapelle 5, 1000 Bruxelles, Belgium",,,
unknown — check profile page,Le Saint Sebastien,"42 Rue Saint-Sébastien, 75011 Paris",,,
unknown — check profile page,Terraméa,"Route de Piccovaggia, 20137 Porto-Vecchio",,,
unknown — check profile page,Bistro Na's,"9055 Las Tunas Dr #105, Temple City, CA 91780, United States",,,
unknown — check profile page,Antica Osteria del Mirasole,"Via Giacomo Matteotti, 17, 40017 San Giovanni in Persiceto BO, Italy",,,
unknown — check profile page,Ristorante Rifugio Crucolo,"Str. dei Sassi Rossi, 38050 Scurelle TN, Italy",,,
unknown — check profile page,Cantoche,"13 Rue Haxo, 13001 Marseille",,,
unknown — check profile page,Gazela,"Tv. Cimo de Vila 4, 4000-434 Porto, Portugal",,,
unknown — check profile page,Chamicos Tulum,"Calle Gama Ote. 735, Tulum Centro, Parque Lacroc, 77760 Tulum, Q.R., Mexico",,,
unknown — check profile page,Mokoloco,"74 Rue de Charonne, 75011 Paris",,,
unknown — check profile page,Planque,"322-324 Acton Mews, London E8 4EA, United Kingdom",,,
unknown — check profile page,Borda Berri,"Fermin Calbeton Kalea, 12, 20003 Donostia, Gipuzkoa, Spain",,,
unknown — check profile page,Frantzén,"Klara Norra kyrkogata 26, 111 22 Stockholm, Sweden",,,
unknown — check profile page,Flocons de Sel,"1775 Rte du Leutaz, 74120 Megève",,,
unknown — check profile page,Desde 1911,"C. Vivero, 3, 28040 Madrid, Spain",,,
unknown — check profile page,Supreme Roastworks,"Thorvald Meyers gate 18A, 0555 Oslo, Norway",,,
unknown — check profile page,Trecca,"Via Alessandro Severo, 220, 00145 Roma RM, Italy",,,
unknown — check profile page,North Abraxas by Eyal Shani,"Lilienblum St 40, Tel Aviv-Yafo, Israel",,,
unknown — check profile page,Jouvence,"172 Bis Rue du Faubourg Saint-Antoine, 75012 Paris",,,
unknown — check profile page,CORDO,"Große Hamburger Str. 32, 10115 Berlin, Germany",,,
unknown — check profile page,Peppone Restaurant,"11628 Barrington Ct, Los Angeles, CA 90049, United States",,,
unknown — check profile page,Orfoz,"Kumbahçe, Zeki Müren Cd. No:13, 48400 Bodrum/Muğla, Turkey",,,
unknown — check profile page,Friture Rene,"Pl. de la Résistance 14, 1070 Anderlecht, Belgium",,,
unknown — check profile page,Sacha,"Zona ajardinada, C. de Juan Hurtado de Mendoza, 11, Posterior, 28036 Madrid, Spain",,,
unknown — check profile page,Methavalai Sorndaeng,"78/2 Ratchadamnoen Ave, Wat Bowon Niwet, Phra Nakhon, Bangkok 10200, Thailand",,,
unknown — check profile page,Bang Bang,"09 Rue du Liban, 75020 Paris",,,
unknown — check profile page,COTE Korean Steakhouse,"16 W 22nd St, New York, NY 10010, United States",,,
unknown — check profile page,Riche,"Birger Jarlsgatan 4, 114 34 Stockholm, Sweden",,,
unknown — check profile page,Flawd,"9 Keepers Quay, Manchester M4 6GL, United Kingdom",,,
unknown — check profile page,O Thessalos,"Melenikou 2, Athina 104 47, Greece",,,
unknown — check profile page,Savant Bar,"Tegnérgatan 4, 113 58 Stockholm, Sweden",,,
unknown — check profile page,Noma,"Refshalevej 96, 1432 Copenhagen, Denmark",,,
unknown — check profile page,Merito,"Jr, 28 De Julio 206, Barranco 15063, Peru",,,
unknown — check profile page,Bavel,"500 Mateo St, Los Angeles, CA 90013, United States",,,
unknown — check profile page,OPA,"Ha-Khalutzim St 8, Tel Aviv-Yafo, 6652308, Israel",,,
unknown — check profile page,Lokanta Kru,"Teşvikiye, Avukat, Av. Süreyya Ağaoğlu Sk. No:13, 34360 Şişli/Istanbul, Turkey",,,
unknown — check profile page,Curry 36,"Mehringdamm 36, 10961 Berlin, Germany",,,
unknown — check profile page,Avli psiri,"Ag. Dimitriou 12, Athina 105 54, Greece",,,
unknown — check profile page,Las Quince Letras,"C. de Mariano Abasolo 300, RUTA INDEPENDENCIA, Centro, 68000 Oaxaca de Juárez, Oax., Mexico",,,
unknown — check profile page,Beyti,"Şenlikköy, Florya, Orman Sk. No:6-8, 34153 Bakırköy/Istanbul, Turkey",,,
unknown — check profile page,Ristorante Biancofiore,"Corso Vittorio Emanuele II, 13, 70122 Bari BA, Italy",,,
unknown — check profile page,Kei,"5 Rue Coq Héron, 75001 Paris, France",,,
unknown — check profile page,Saltimportern Canteen,"Grimsbygatan 24, 211 20 Malmö, Sweden",,,
unknown — check profile page,Les Trois Royaumes,"25 Rue d'Enghien, 75010 Paris",,,
unknown — check profile page,Semea by Euskalduna,"Cais das Pedras 15, 4050-265 Porto, Portugal",,,
unknown — check profile page,Clown Bar,"114 Rue Amelot, 75011 Paris",,,
unknown — check profile page,Restaurant Le Divil,"9 Rue Fabriqués d'en Nabot, 66000 Perpignan",,,
unknown — check profile page,Yi Chan,"Rue Jules Van Praet 13, 1000 Bruxelles, Belgium",,,
unknown — check profile page,Ama Lachei,"Kallidromiou 69, Athina 106 83, Greece",,,
unknown — check profile page,Trippa,"Via Giorgio Vasari, 1, 20135 Milano MI, Italy",,,
unknown — check profile page,148 Gastroleku,"Iñigo Kalea, 1, 20003 Donostia, Gipuzkoa, Spain",,,
unknown — check profile page,Vinello a Milano,"Piazzale Veronica Gambara, 4, 20146 Milano MI, Italy",,,
unknown — check profile page,Toc al Mar,"Carrer Platja d'Aiguablava, 8, 17255 Begur, Girona, Spain",,,
unknown — check profile page,Le Servan,"32 Rue Saint-Maur, 75011 Paris",,,
unknown — check profile page,Kiff-Kiff,"213 Rue Léon Gambetta, 59000 Lille",,,
unknown — check profile page,HIBA,"Derech Menachem Begin 144, Tel Aviv-Yafo, 4692102, Israel",,,
unknown — check profile page,KOL,"Lower Ground Floor, 9 Seymour St, London W1H 7BA, United Kingdom",,,
unknown — check profile page,TINTO COFFEE SHOP,"163 Av. de l'Adour, 64600 Anglet",,,
unknown — check profile page,Ristorante Piazza Palmieri,"Largo Palmieri, 3, 70043 Monopoli BA, Italy",,,
