chef_name,restaurant_name,address,cuisine_type,chef_comment,best_dish
Sébastien Perinetti,Casa Sallusti,"670 Chem. des Collets, 06640 Saint-Jeannet",,"A magical place, in a calm environment.",
Sébastien Perinetti,Cinq,"5 Rue de la Bourgade, 06140 Tourrettes-sur-Loup",,"Big miams on every bite of the menu.",
Sébastien Perinetti,La pêche à la vigne,"13 Rue Cassini, 06300 Nice",,"Beautiful selection of products, atypical and exciting wine list.",
Sébastien Perinetti,Chez Davia,"11bis Rue Grimaldi, 06000 Nice",French,"Pierre's cooking is precise and delicious.",
Sébastien Perinetti,Jeanne,"10 Rue Sade, 06600 Antibes",,"Fine wine selection, cuisine full of inspiration.",
Sébastien Perinetti,Le Ponpon,"4 Rue Emile Négrin, 06400 Cannes",,"Bruno's delicious and playful dishes and a fine selection of natural wines.",
Sébastien Perinetti,Amarea,"Lungomare Argentina 1, 18012 Bordighera, Italy",Italian,"The sea all around and on the plate!",
Sébastien Perinetti,Maido,"31 Rue Gioffredo, 06000 Nice",Japanese,"The Izakaya of Nice. Lots of delicious dishes, superb gyoza.",Gyoza
Sébastien Perinetti,Babel Babel,"2 Cr Jacques Chirac, 06300 Nice",Mediterranean,"Exciting cocktails, Mediterranean wines, dishes that make your head spin.",
Victoria Gil & Guilhem Malisson,Le Bec Du Coq,"28 Boulevard Notre Dame, 13006 Marseille",French,,
Victoria Gil & Guilhem Malisson,Sépia,"2 Rue Vauvenaroques, 13007 Marseille",,,
Victoria Gil & Guilhem Malisson,Chez Yassine,"8 Rue d'Aubagne, 13001 Marseille",,For the fish couscous on Sundays.,
Victoria Gil & Guilhem Malisson,Hako +,"218 Chem. du Roucas Blanc, 13007 Marseille",,Perfect bento lunch.,
Victoria Gil & Guilhem Malisson,Chez Etienne,"43 Rue Lorette, 13002 Marseille",,"We don't go to a restaurant, we go Chez Etienne, an institution.",
Victoria Gil & Guilhem Malisson,Ouréa,"72 Rue de la Paix Marcel Paul, 13006 Marseille",,,
Victoria Gil & Guilhem Malisson,Shanghai Kitchen,"14 Cr Jean Ballard, 13001 Marseille",Chinese,The best Chinese restaurant in Marseille.,
Victoria Gil & Guilhem Malisson,Limmat,"41 Rue Estelle, 13006 Marseille",,"Modern primarily vegetable-centered cuisine.",
Victoria Gil & Guilhem Malisson,Jeanne,"10 Rue Sade, 06600 Antibes",,"Fine wine selection, cuisine full of inspiration.",
Victoria Gil & Guilhem Malisson,La Courtille Tavel,"208 Chem. des Cravailleux, 30126 Tavel",,Great offal dishes in the heart of the vineyards.,
Victoria Gil & Guilhem Malisson,Mouné,"30 Rue Fortia, 13001 Marseille",Lebanese,The best Lebanese restaurant in Marseille.,
Catalin Indreica,Bocca Nissa,"3 Rue Saint-François de Paule, 06300 Nice",Mediterranean,,
Catalin Indreica,Comptoir du Marché,"8 Rue du Marché, 06000 Nice",,,
Catalin Indreica,La Merenda,"4 Rue Raoul Bosio, 06300 Nice",,,
Catalin Indreica,Le Bar des Oiseaux,"5 Rue Saint-Vincent, 06300 Nice",,Pop art decoration with an authentic feel.,
Catalin Indreica,La Cave du Fromager,"29 Rue Benoît Bunico, 06000 Nice",,The best fondue I have ever tasted!,Fondue
Catalin Indreica,Olive & Artichaut,"6 Rue Sainte-Reparate, 06300 Nice",,,
Catalin Indreica,Babel Babel,"2 Cr Jacques Chirac, 06300 Nice",,,
Catalin Indreica,Lavomatique,"11 Rue du Pont Vieux, 06300 Nice",,,
Catalin Indreica,Geppetto,"9 Rue Chauvain, 06000 Nice",Italian,Italian cuisine the way we like it!,Carbonara
Catalin Indreica,Peixes,"4 Rue Jacques Médecin, 06300 Nice",Seafood,Fresh seafood.,Ceviche
Catalin Indreica,Farago on the roof,"Rooftop AC Hotel, 59 Prom. des Anglais, 06000 Nice",,,
Guillaume Tran-tu,Mallard,"6 Rue Maraldi, 06300 Nice",French,,
Guillaume Tran-tu,Le Glouphile,"41 Bd Stalingrad, 06300 Nice",,Wine cellar and Spanish charcuterie.,
Guillaume Tran-tu,La Cave Rembrandt,"54 Bd Général Louis Delfino, 06300 Nice",,Organic natural wine cellar.,
Guillaume Tran-tu,Lavomatique,"11 Rue du Pont Vieux, 06300 Nice",,Innovative bar food and natural wines.,
Guillaume Tran-tu,Chabrol,"12 Rue Bavastro, 06300 Nice",,Charming restaurant and refined cuisine.,
Guillaume Tran-tu,Le Canon,"23 Rue Meyerbeer, 06000 Nice",,Changing menu on chalkboard and great wines.,
Guillaume Tran-tu,ROUGE,"2 Rue de Foresta, 06300 Nice",,Small sharing plates with port view.,Croquettes de parmesan
Guillaume Tran-tu,Babel Babel,"2 Cr Jacques Chirac, 06300 Nice",,All day dining on the boardwalk.,
Guillaume Tran-tu,D'AQUI,"28 Rue Cassini, 06300 Nice",,Socca-based Nissart street food.,
Guillaume Tran-tu,La treille bar a vin,"7 Rue Saint-Augustin, 06300 Nice",,Cheap sharing plates in Vieux Nice.,
